trial,list,set,condition,prime,target,condition_trigger,item_trigger
1,1,11,related,brother,broth,101,42
1,2,2,related,spinach,spin,101,44
2,1,2,unrelated,lantern,spin,102,44
2,2,10,related,archer,arch,101,41
3,1,5,related,dealer,deal,101,47
3,2,11,unrelated,satchel,broth,102,42
4,1,4,unrelated,cabbage,spar,102,46
4,2,12,related,scandal,scan,101,43
5,1,6,unrelated,violin,hunt,102,48
5,2,7,unrelated,harvest,teach,102,49
6,1,9,related,mother,moth,101,51
6,2,1,unrelated,gateway,clean,102,40
7,1,3,related,category,cat,101,45
7,2,3,unrelated,hospital,cat,102,45
8,1,1,related,cleaner,clean,101,40
8,2,6,related,hunter,hunt,101,48
9,1,12,unrelated,cabinet,scan,102,43
9,2,4,related,sparrow,spar,101,46
10,1,7,related,teacher,teach,101,49
10,2,9,unrelated,candle,moth,102,51
11,1,8,unrelated,velvet,corn,102,50
11,2,8,related,corner,corn,101,50
12,1,10,unrelated,pencil,arch,102,41
12,2,5,unrelated,anthem,deal,102,47
