item,prime_type,condition,prime,target,set,list,trial
6,opaque,related,mother,moth,9,1,1
1,transparent,related,cleaner,clean,1,1,2
3,transparent,unrelated,violin,hunt,6,1,3
12,form,unrelated,cabbage,spar,4,1,4
5,opaque,unrelated,velvet,corn,8,1,5
2,transparent,related,dealer,deal,5,1,6
9,form,unrelated,cabinet,scan,12,1,7
10,form,unrelated,lantern,spin,2,1,8
4,transparent,related,teacher,teach,7,1,9
11,form,related,category,cat,3,1,10
8,opaque,related,brother,broth,11,1,11
7,opaque,unrelated,pencil,arch,10,1,12
1,transparent,unrelated,gateway,clean,1,2,1
7,opaque,related,archer,arch,10,2,2
3,transparent,related,hunter,hunt,6,2,3
10,form,related,spinach,spin,2,2,4
8,opaque,unrelated,satchel,broth,11,2,5
6,opaque,unrelated,candle,moth,9,2,6
2,transparent,unrelated,anthem,deal,5,2,7
5,opaque,related,corner,corn,8,2,8
12,form,related,sparrow,spar,4,2,9
9,form,related,scandal,scan,12,2,10
4,transparent,unrelated,harvest,teach,7,2,11
11,form,unrelated,hospital,cat,3,2,12
